11269	I
11620	I
448086	I
186540	I
1126254	I
1216927	I
186538	I
12870	I
10244	I
186539	I
10325	I
45219	I
11628	I
11619	I
45709	I
499556	I
649188	I
186541	I
565995	I
53258	I
388795	II
505231	II
505184	II
505186	II
505185	II
348026	II
348015	II
402373	II
402369	II
402372	II
402052	II
402370	II
11580	II
489491	II
45270	II
334520	II
489455	II
489460	II
11681	II
11577	II
505230	II
489450	II
1219350	II
1219352	II
1219353	II
489484	II
489452	II
206160	II
1980471	II
192196	II
273357	II
35511	II
348008	II
348011	II
348009	II
489483	II
489466	II
45269	II
388799	II
505228	II
1810948	II
402044	II
388908	II
170517	II
505226	II
505227	II
505229	II
388817	II
489451	II
11574	II
33747	II
402042	II
37814	II
11709	II
11676	II
33748	II
1980456	II
1980521	II
1933191	II
1980491	II
1980486	II
1980494	II
1980467	II
1980490	II
402371	II
118655	II
11590	II
1933187	II
1933182	II
28292	II
1006583	II
1513237	II
1933190	II
1933186	II
1933188	II
1933183	II
1980526	II
1980483	II
192199	II
292278	II
348013	II
388820	II
44755	II
36368	II
54290	II
59303	II
12475	II
10407	II
12542	II
489492	II
489493	II
36383	II
36384	II
60875	II
60877	II
177895	II
60876	II
177898	II
11038	II
60879	II
11027	II
79899	II
11072	II
58535	II
90961	II
33714	II
37124	II
12123	II
11089	II
64315	II
64288	II
47300	II
11021	II
466217	II
11082	II
57482	II
12116	II
11039	II
11029	II
38766	II
1219351	II
33743	II
48540	II
110195	II
55075	II
11080	II
12118	II
11037	II
36382	II
35292	II
11079	II
48542	II
59301	II
11084	II
12111	II
1627834	II
36385	II
11087	II
36421	II
48295	II
117204	II
11094	II
1972575	II
11073	II
11083	II
11077	II
11075	II
70733	II
31699	II
12122	II
11036	II
11060	II
11069	II
11053	II
11292	II
11034	II
449280	II
11088	II
11086	II
11070	II
11033	II
64285	II
64280	II
11085	II
41856	II
172148	II
227859	II
12538	II
64286	II
59300	II
64287	II
44026	II
59563	II
57483	II
40271	II
356114	II
33745	II
33746	II
42182	II
1968826	II
64320	II
164416	II
59302	II
48543	II
59305	II
1167696	II
1335626	II
211977	II
249583	II
38767	II
11023	II
1072176	II
746543	II
249584	II
237716	II
642022	II
64317	II
38837	II
64296	II
1544901	II
1213198	II
1846259	II
64295	II
64297	II
64894	II
44419	II
77763	II
10910	II
238099	II
238100	II
238101	II
238102	II
238103	II
449142	II
201491	II
201492	II
201493	II
201494	II
201495	II
201496	II
201497	II
10895	II
464979	II
384363	II
1906934	II
40064	II
201490	II
40057	II
40058	II
45031	II
35332	II
248911	II
248910	II
40053	II
40052	II
35329	II
35327	II
35328	II
45032	II
45029	II
45030	II
10906	II
35331	II
86061	II
86060	II
86059	II
86062	II
94967	II
197780	II
36423	II
248909	II
94966	II
35330	II
248912	II
197781	II
248913	II
248914	II
248915	II
10903	II
649604	II
104581	II
40060	II
1692107	II
11623	II
1170505	II
40062	II
63330	II
121791	II
11631	II
40059	II
10897	II
40051	II
11630	II
306276	II
356862	II
55097	II
45220	II
33720	II
204269	II
40061	II
1408137	II
40067	II
40065	II
1679172	II
1955493	II
12080	III
12086	III
12089	III
12083	III
32604	III
10335	III
12090	III
12461	III
12092	III
32603	III
10372	III
10310	III
10298	III
1933179	III
11320	III
138950	III
11520	III
10359	III
11552	III
10317	III
10376	III
37296	III
129875	IV
130310	IV
129951	IV
108098	IV
130309	IV
565302	IV
565303	IV
67605	IV
138949	IV
397342	IV
536079	IV
32605	IV
166124	IV
35333	IV
237020	IV
10941	IV
12107	IV
538120	IV
1907210	IV
39054	IV
42789	IV
31631	IV
538121	IV
1511900	IV
515178	IV
337043	IV
334202	IV
11642	IV
10804	IV
12104	IV
147712	IV
11234	IV
337041	IV
1891762	IV
11041	IV
11277	IV
138948	IV
147711	IV
1891763	IV
46350	IV
10279	IV
11250	IV
11020	IV
11216	IV
12814	IV
57579	IV
195054	IV
1313215	IV
35304	IV
1868658	IV
122928	IV
687340	IV
85106	IV
1979165	IV
11176	IV
132475	IV
11137	IV
130308	IV
1979160	IV
12730	IV
10243	IV
12643	IV
46839	IV
38804	IV
10258	IV
277944	IV
95342	IV
1979162	IV
515177	IV
290028	IV
10245	IV
36427	IV
335103	IV
1246677	IV
1891764	IV
1891765	IV
463676	IV
493803	IV
28875	IV
1330491	IV
1330524	IV
325455	IV
538123	IV
129726	IV
687343	IV
687367	IV
687366	IV
687351	IV
687349	IV
687353	IV
687358	IV
687365	IV
687346	IV
687342	IV
687364	IV
687347	IV
687355	IV
687345	IV
687354	IV
687341	IV
11272	IV
290008	IV
10942	IV
1979161	IV
1511805	IV
249588	IV
340017	IV
122929	IV
262897	IV
11318	IV
11963	IV
40054	II
1428763	II
1933309	II
194440	II
194441	II
12637	II
11103	II
1985356	II
147712	IV
1821749	IV
33721	II
1933290	II
1933307	II
1934100	II
1933291	II
1933189	II
11286	II
186536	I
12110	II
687331	IV
1511891	IV
1035377	I
1345702	I
1345703	I
1345704	I
1345705	I
1345706	I
1345707	I
1345708	I
187410	I
214092	I
229193	I
349746	I
360102	I
386656	I
547048	I
632	I
637382	I
637385	I
637386	I
649716	I
748678	I
1001534	II
1001542	II
1003201	II
1003202	II
1004954	II
1029825	II
1038927	II
1050219	II
1050221	II
1055538	II
1104320	II
1104321	II
1105094	II
1105095	II
1105096	II
1105098	II
1105099	II
1105100	II
1105101	II
1105102	II
1105104	II
1105105	II
1112250	II
1112252	II
1112254	II
1112267	II
1112912	II
1133671	II
1134456	II
119856	II
119857	II
